Test,Scheme,Full Name,Survey No,Date,Month,Year,Combined Date,Barcode,Result,Results 2,Units,Reference Range,Group Participants,Reagent Median,Z-Score,% Deviation,Overall Participants,Overall Median,% Deviation2,Z-Score,IQ range,IQ result,Range,Previous % deviation,Cumulative Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivaroxaban,ECAT,"ECAT16-2, 16/82","16-2, 16/82",26,May,2016,26 May 2016,7579534,130,,,,32,154,-1.35,,199,150,,-1.11,,,88-228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivaroxaban,ECAT,"ECAT16-2, 16/83","16-2, 16/83",26,May,2016,26 May 2016,7579542,130,,,,32,154,-1.41,,199,151,,-1.16,,,94-224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apixaban,ECAT,"ECAT16-2, 16/84","16-2, 16/84",26,May,2016,26 May 2016,7579557,343,,,,14,332,0.22,,145,332,,0.38,,,162-454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apixaban,ECAT,"ECAT16-2, 16/85","16-2, 16/85",26,May,2016,26 May 2016,7579584,181,,,,14,191,-0.45,,147,180,,0.03,,,109-335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabigatran,ECAT,"ECAT16-2, 16/88","16-2, 16/88",26,May,2016,26 May 2016,7579597,281,,,,16,275,0.18,,114,267,,0.41,,,0.-385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabigatran,ECAT,"ECAT16-2, 16/89","16-2, 16/89",26,May,2016,26 May 2016,7579603,111,,,,16,114,-0.56,,114,112,,-0.09,,,0-172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWF Activity,ECAT,"ECAT16-2, 16/56","16-2, 16/56",26,May,2016,26 May 2016,7579405,0.15,,,,13,30,-2.42,,,,,,,,15-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWF Antigen,ECAT,"ECAT16-2, 16/56","16-2, 16/56",26,May,2016,26 May 2016,7579405,Inadequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromogenic FVIII,ECAT,"ECAT16-2, 16/56","16-2, 16/56",26,May,2016,26 May 2016,7579405,0.32,32,,,19,30,0.56,,239,34,,-0.4,,,20-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBA,ECAT,"ECAT16-2, 16/56","16-2, 16/56",26,May,2016,26 May 2016,7579405,0.44,44,,,9,35,,,66,36,,1.31,,,26-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWF Activity,ECAT,"ECAT16-1, 16/24","16-1, 16/24",4,March,2016,4 March 2016,6422782,1.32,,,,9,138,,,59,129,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWF Antigen,ECAT,"ECAT16-1, 16/24","16-1, 16/24",4,March,2016,4 March 2016,6422782,1.57,,,,12,118,0.99,,137,109,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromogenic FVIII,ECAT,"ECAT16-1, 16/24","16-1, 16/24",4,March,2016,4 March 2016,6422782,0.99,,,,71,150,0.47,,272,143,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBA,ECAT,"ECAT16-1, 16/24","16-1, 16/24",4,March,2016,4 March 2016,6422782,1.3,,,,17,85,1.8,,227,87,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Activity,ECAT,"ECAT16-1, 16/25","16-1, 16/25",4,March,2016,4 March 2016,6422887,48,,,,53,39,1.14,,87,40,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Activity,ECAT,"ECAT16-1, 16/26","16-1, 16/26",4,March,2016,4 March 2016,6422811,9,,,,52,7,1.23,,81,7,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Inhibitor,ECAT,"ECAT16-1, 16/27","16-1, 16/27",4,March,2016,4 March 2016,6422841,0,,,,32,4.2,-3.64,,35,4.2,,-3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Inhibitor,ECAT,"ECAT16-1, 16/28","16-1, 16/28",4,March,2016,4 March 2016,6422848,4,,,,33,8,-1.92,,37,7.9,,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT INR,NEQAS,"NEQAS, SURVEY219-16/29",219-16/29,20,July,2016,20 July 2016,8353203,3.11,,,,255,3,,3.7,878,3,3.7,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APTT,NEQAS,"NEQAS, SURVEY219-16/30",219-16/30,20,July,2016,20 July 2016,8353231,39.4,1.27,,,362,1.23,,3.3,893,1.25,1.6,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti Xa,NEQAS,"NEQAS, SURVEY219-16/31",219-16/31,20,July,2016,20 July 2016,8353247,0.62,,,,256,0.65,,-4.6,262,,,,0.59-0.72,a,,,a/b/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibrinogen,NEQAS,"NEQAS, SURVEY219-16/32",219-16/32,20,July,2016,20 July 2016,8353265,3.12,,,,761,2.8,,11.4,,2.8,,,,,,-9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-Dimer,NEQAS,"NEQAS, SURVEY219-16/33",219-16/33,20,July,2016,20 July 2016,8353288,225,,,,233,179,,25.7,521,174,,,165-193,E,,,c/D/E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor VII,NEQAS,"NEQAS, SURVEY219-16/34",219-16/34,20,July,2016,20 July 2016,8353300,20,,,,259,20,,0,,,,,18.3-22,A,,,a/a/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor VIII,NEQAS,"NEQAS, SURVEY219-16/35",219-16/35,20,July,2016,20 July 2016,8353313,75,,,,337,78,,-3.8,,,,,73.6-82,a,,,a/b/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor X,NEQAS,"NEQAS, SURVEY219-16/36",219-16/36,20,July,2016,20 July 2016,8353335,22,,,,243,21,,4.8,,,,,20-22,A,,,A/A/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor XII,NEQAS,"NEQAS, SURVEY219-16/37",219-16/37,20,July,2016,20 July 2016,8353342,18,,,,254,14,,28.6,,,,,11.6-16.3,C,,,A/A/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein C Activity,NEQAS,"NEQAS, SURVEY219-16/38",219-16/38,20,July,2016,20 July 2016,8353385,77,,,,288,76,,1.3,303,,,,74-78,A,,,a/b/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein S,NEQAS,"NEQAS, SURVEY219-16/38",219-16/38,20,July,2016,20 July 2016,8353385,60.3,,,,267,60,,0.5,267,,,,57-62,A,,,a/b/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antithrombin,NEQAS,"NEQAS, SURVEY219-16/38",219-16/38,20,July,2016,20 July 2016,8353385,94,,,,189,94,,0,308,,,,91-97,A,,,E/a/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APCR,NEQAS,"NEQAS, SURVEY219-16/38",219-16/38,20,July,2016,20 July 2016,8353385,2.83,,,,86,2.7,,4.8,209,,,,2.6-2.8,B,,,b/A/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTEM CT,NEQAS,"NEQAS, SURVEY6TR16:02",6TR16:02,30,June ,2016,30 June  2016,,52,,,,24,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTEM CFT,NEQAS,"NEQAS, SURVEY6TR16:02",6TR16:02,30,June ,2016,30 June  2016,,29,,,,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTEM angle,NEQAS,"NEQAS, SURVEY6TR16:02",6TR16:02,30,June ,2016,30 June  2016,,85,,,,24,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTEM A10 mm,NEQAS,"NEQAS, SURVEY6TR16:02",6TR16:02,30,June ,2016,30 June  2016,,35,,,,24,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTEM A15 mm,NEQAS,"NEQAS, SURVEY6TR16:02",6TR16:02,30,June ,2016,30 June  2016,,36,,,,24,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTEM A30 mm ,NEQAS,"NEQAS, SURVEY6TR16:02",6TR16:02,30,June ,2016,30 June  2016,,38,,,,24,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT INR,NEQAS,"NEQAS, SURVEY220-16/39",220-16/39,15,September,2016,15 September 2016,,1.32,,,,249,1.3,,1.5,877,1.34,-1.5,,,,,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT,NEQAS,"NEQAS, SURVEY220-16/40",220-16/40,15,September,2016,15 September 2016,,19.3,1.72,,,329,1.68,,2.4,872,1.61,6.8,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APTT,NEQAS,"NEQAS, SURVEY220-16/41",220-16/41,15,September,2016,15 September 2016,,38.4,1.24,,,360,1.23,,0.8,895,1.25,-0.8,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrombin Time,NEQAS,"NEQAS, SURVEY220-16/42",220-16/42,15,September,2016,15 September 2016,,15.2,0.99,,,44,0.94,,5.3,418,1.01,-2,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-Dimer,NEQAS,"NEQAS, SURVEY220-16/43",220-16/43,15,September,2016,15 September 2016,,275,,,,235,291,,-5.5,526,295,,,278-306,b,,,D/E/b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor II,NEQAS,"NEQAS, SURVEY220-16/44",220-16/44,15,September,2016,15 September 2016,,81,,,,244,85,,-4.7,,,,,80.7-90,a,,,B/a/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor V,NEQAS,"NEQAS, SURVEY220-16/45",220-16/45,15,September,2016,15 September 2016,,81,,,,254,78,,3.8,,,,,73.1-82,A,,,e/B/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor XI,NEQAS,"NEQAS, SURVEY220-16/46",220-16/46,15,September,2016,15 September 2016,,29,,,,274,29,,0,,,,,26.9-31,A,,,A/A/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWF Antigen,ECAT,"ECAT16-3, 16/101","16-3, 16/101",4,November,2016,4 November 2016,,21,,,,72,21,-0.03,,239,18,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWF Activity,ECAT,"ECAT16-3, 16/101","16-3, 16/101",4,November,2016,4 November 2016,,5,,,,13,5,-0.39,,75,7,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWF CBA,ECAT,"ECAT16-3, 16/101","16-3, 16/101",4,November,2016,4 November 2016,,5,,,,8,5,,,54,5,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor VIII,ECAT,"ECAT16-3, 16/101","16-3, 16/101",4,November,2016,4 November 2016,,19,,,,18,18,0.42,,234,21,,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS-13 Activity,ECAT,"ECAT16-3, 16/102","16-3, 16/102",4,November,2016,4 November 2016,,75,,,,55,58,2.46,,85,58,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS-13 Activity,ECAT,"ECAT16-3, 16/103","16-3, 16/103",4,November,2016,4 November 2016,,28,,,,55,25,0.91,,85,24,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS-13 Inhibitor,ECAT,"ECAT16-3, 16/105","16-3, 16/105",4,November,2016,4 November 2016,,6,,,,29,7,-0.99,,34,7,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS-13 Inhibitor,ECAT,"ECAT16-3, 16/104","16-3, 16/104",4,November,2016,4 November 2016,,3,,,,29,4.4,-1.06,,34,4.4,,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIT-IgG,ECAT,"ECAT16-3, 16/120","16-3, 16/120",4,November,2016,4 November 2016,,Positive,,,,32,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIT-IgG,ECAT,"ECAT16-3, 16/121","16-3, 16/121",4,November,2016,4 November 2016,,Negative,,,,33,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTEM CT,NEQAS,"NEQAS, SURVEY7TR16:03",7TR16:03,24,October,2016,24 October 2016,,49,,,,6,49,,,,,,,,,44-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
